ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
1,25,1,414.932,175101,4,13.5488,1,0,0,1,0,0,0
2,45,19,287.912,509001,3,12.702,1,0,0,1,0,0,0
3,39,15,93.148,624001,1,8.468,1,0,0,0,0,0,0
4,35,9,846.8,769001,1,22.8636,2,0,0,0,0,0,0
5,35,8,381.06,834001,4,8.468,2,0,0,0,0,0,1
6,37,13,245.572,506001,4,3.3872,2,1312.54,0,0,0,1,0
7,53,27,609.696,600001,2,12.702,2,0,0,0,0,1,0
8,50,24,186.296,784001,1,2.5404,3,0,0,0,0,0,1
9,35,10,685.908,148001,3,5.0808,2,880.672,0,0,0,1,0
10,34,9,1524.24,403721,1,75.3652,3,0,1,0,0,0,0
11,65,39,889.14,785621,4,20.3232,3,0,0,0,0,0,0
12,29,5,381.06,582101,3,0.8468,2,0,0,0,0,1,0
13,48,23,965.352,791102,2,32.1784,3,0,0,1,0,0,0
14,59,32,338.72,533101,4,21.17,2,0,0,0,0,1,0
15,67,41,948.416,796321,1,16.936,1,0,0,1,0,0,0
16,60,30,186.296,785621,1,12.702,3,0,0,0,0,1,1
17,38,14,1100.84,122001,4,39.7996,3,1134.712,1,0,0,0,0
18,42,18,685.908,721301,4,20.3232,1,0,0,0,0,0,0
19,46,21,1634.324,785001,2,68.5908,3,0,1,0,0,0,0
20,55,28,177.828,600001,1,4.234,2,0,0,1,0,0,1
21,56,31,211.7,834001,4,7.6212,2,939.948,0,0,0,1,0
22,57,27,533.484,176215,3,16.936,3,0,0,0,0,1,0
23,29,5,525.016,744101,1,10.1616,1,2201.68,0,0,0,1,0
24,44,18,364.124,756001,2,5.9276,1,1380.284,0,1,0,0,0
25,36,11,1287.136,503001,2,33.0252,1,1346.412,0,0,0,0,1
26,43,19,245.572,686001,3,4.234,1,821.396,0,0,0,1,0
27,40,16,702.844,457001,4,1.6936,3,0,0,0,0,0,0
28,46,20,1337.944,797112,1,20.3232,1,0,0,0,0,1,1
29,56,30,406.464,390001,1,18.6296,3,0,0,0,0,1,1
30,38,13,1007.692,791104,1,27.9444,2,0,1,0,1,1,1
31,59,35,296.38,600001,1,10.1616,3,1033.096,0,0,0,1,0
32,40,16,245.572,782001,1,16.936,2,0,0,0,0,1,0
33,53,28,347.188,695001,2,5.0808,3,1634.324,0,0,0,0,0
34,30,6,152.424,700001,3,7.6212,3,0,0,0,0,0,0
35,31,5,423.4,396445,4,15.2424,3,0,0,0,0,1,0
36,48,24,685.908,148001,3,5.9276,1,0,0,0,0,0,0
37,59,35,1024.628,796470,1,24.5572,1,0,0,0,0,0,1
